0,1,2,output
35,559,151,1
559,151,1,624
151,1,624,3058
1,624,3058,456
624,3058,456,47
3058,456,47,19
456,47,19,1677
47,19,1677,2595
19,1677,2595,63
1677,2595,63,1981
2595,63,1981,1458
63,1981,1458,452
1981,1458,452,2288
1458,452,2288,2301
452,2288,2301,151
2288,2301,151,853
2301,151,853,3274
151,853,3274,39
853,3274,39,3618
3274,39,3618,63
39,3618,63,1981
3618,63,1981,1458
63,1981,1458,452
1981,1458,452,2288
1458,452,2288,1762
452,2288,1762,15
2288,1762,15,3764
1762,15,3764,20
15,3764,20,327
3764,20,327,2157
20,327,2157,297
327,2157,297,18
2157,297,18,2381
297,18,2381,338
18,2381,338,2625
2381,338,2625,151
338,2625,151,853
2625,151,853,4260
151,853,4260,4647
853,4260,4647,15
4260,4647,15,1619
4647,15,1619,7
15,1619,7,79
1619,7,79,1
7,79,1,4313
79,1,4313,3502
1,4313,3502,15
4313,3502,15,1619
3502,15,1619,2756
15,1619,2756,4990
1619,2756,4990,281
2756,4990,281,1087
4990,281,1087,15
281,1087,15,402
1087,15,402,4
15,402,4,1337
402,4,1337,35
4,1337,35,559
1337,35,559,2091
35,559,2091,7
559,2091,7,34
2091,7,34,481
7,34,481,61
34,481,61,508
481,61,508,93
61,508,93,4530
508,93,4530,3
93,4530,3,2543
4530,3,2543,3015
3,2543,3015,19
2543,3015,19,3566
3015,19,3566,502
19,3566,502,2
3566,502,2,6610
502,2,6610,1454
2,6610,1454,3985
6610,1454,3985,79
1454,3985,79,2
3985,79,2,2
79,2,2,2149
2,2,2149,17
2,2149,17,0
2149,17,0,456
17,0,456,6
0,456,6,370
456,6,370,508
6,370,508,481
370,508,481,280
508,481,280,47
481,280,47,0
280,47,0,2497
47,0,2497,10
0,2497,10,3127
2497,10,3127,104
10,3127,104,152
3127,104,152,125
104,152,125,143
152,125,143,4
125,143,4,48
143,4,48,5459
4,48,5459,1
48,5459,1,13
5459,1,13,0
1,13,0,847
13,0,847,5
0,847,5,19
847,5,19,7338
5,19,7338,4
19,7338,4,0
7338,4,0,308
4,0,308,1
0,308,1,70
308,1,70,27
1,70,27,544
70,27,544,3
27,544,3,326
544,3,326,0
3,326,0,9675
326,0,9675,2497
0,9675,2497,11
9675,2497,11,81
2497,11,81,443
11,81,443,1
81,443,1,394
443,1,394,326
1,394,326,5
394,326,5,157
326,5,157,1086
5,157,1086,22
157,1086,22,2
1086,22,2,3645
22,2,3645,4
2,3645,4,3564
3645,4,3564,5
4,3564,5,10
3564,5,10,9542
5,10,9542,2729
10,9542,2729,2
9542,2729,2,223
2729,2,223,1011
2,223,1011,4
223,1011,4,125
1011,4,125,1
4,125,1,1015
125,1,1015,7657
1,1015,7657,419
1015,7657,419,52
7657,419,52,0
419,52,0,3849
52,0,3849,4
0,3849,4,34
3849,4,34,481
4,34,481,29
34,481,29,31
481,29,31,22
29,31,22,0
31,22,0,2546
22,0,2546,4
0,2546,4,611
2546,4,611,178
4,611,178,3213
611,178,3213,1
178,3213,1,3889
3213,1,3889,162
1,3889,162,15
3889,162,15,86
162,15,86,29
15,86,29,61
86,29,61,225
29,61,225,2837
61,225,2837,152
225,2837,152,19
2837,152,19,1831
152,19,1831,42
19,1831,42,15
1831,42,15,72
42,15,72,10220
15,72,10220,5171
72,10220,5171,1
10220,5171,1,67
5171,1,67,11
1,67,11,0
67,11,0,3484
11,0,3484,4
0,3484,4,0
3484,4,0,3850
4,0,3850,180
0,3850,180,19
3850,180,19,268
180,19,268,29
19,268,29,70
268,29,70,292
29,70,292,3
70,292,3,7775
292,3,7775,47
3,7775,47,20
7775,47,20,36
47,20,36,4
20,36,4,0
36,4,0,6671
4,0,6671,793
0,6671,793,13
6671,793,13,0
793,13,0,1641
13,0,1641,123
0,1641,123,2
1641,123,2,223
123,2,223,1299
2,223,1299,1229
223,1299,1229,15
1299,1229,15,140
1229,15,140,481
15,140,481,7
140,481,7,535
481,7,535,94
7,535,94,70
535,94,70,9
94,70,9,1350
70,9,1350,47
9,1350,47,29
1350,47,29,1537
47,29,1537,7
29,1537,7,3970
1537,7,3970,141
7,3970,141,29
3970,141,29,70
141,29,70,1676
29,70,1676,18
70,1676,18,35
1676,18,35,536
18,35,536,0
35,536,0,522
536,0,522,370
0,522,370,508
522,370,508,7
370,508,7,0
508,7,0,308
7,0,308,11
0,308,11,43
308,11,43,16
11,43,16,27
43,16,27,496
16,27,496,14
27,496,14,29
496,14,29,70
14,29,70,31
29,70,31,3315
70,31,3315,3
31,3315,3,0
3315,3,0,522
3,0,522,559
0,522,559,1
522,559,1,29
559,1,29,70
1,29,70,64
29,70,64,140
70,64,140,1379
64,140,1379,1307
140,1379,1307,4
1379,1307,4,1204
1307,4,1204,32
4,1204,32,0
1204,32,0,522
32,0,522,1505
0,522,1505,29
522,1505,29,2194
1505,29,2194,70
29,2194,70,16
2194,70,16,400
70,16,400,4954
16,400,4954,65
400,4954,65,4061
4954,65,4061,1302
65,4061,1302,3
4061,1302,3,140
1302,3,140,3606
3,140,3606,20
140,3606,20,29
3606,20,29,318
20,29,318,188
29,318,188,1320
318,188,1320,61
188,1320,61,4152
1320,61,4152,29
61,4152,29,43
4152,29,43,554
29,43,554,90
43,554,90,18
554,90,18,35
90,18,35,536
18,35,536,7
35,536,7,0
536,7,0,1320
7,0,1320,4
0,1320,4,340
1320,4,340,83
4,340,83,4
340,83,4,0
83,4,0,1597
4,0,1597,6478
0,1597,6478,2923
1597,6478,2923,222
6478,2923,222,1093
2923,222,1093,9888
222,1093,9888,2892
1093,9888,2892,15
9888,2892,15,1409
2892,15,1409,50
15,1409,50,27
1409,50,27,210
50,27,210,52
27,210,52,525
210,52,525,3512
52,525,3512,65
525,3512,65,261
3512,65,261,1
65,261,1,47
261,1,47,6362
1,47,6362,3098
47,6362,3098,5519
6362,3098,5519,19
3098,5519,19,4061
5519,19,4061,46
19,4061,46,55
4061,46,55,61
46,55,61,29
55,61,29,143
61,29,143,0
29,143,0,891
143,0,891,1428
0,891,1428,106
891,1428,106,811
1428,106,811,79
106,811,79,83
811,79,83,4140
79,83,4140,4714
83,4140,4714,1249
4140,4714,1249,29
4714,1249,29,23
1249,29,23,16
29,23,16,90
23,16,90,272
16,90,272,1350
90,272,1350,47
272,1350,47,143
1350,47,143,9
47,143,9,318
143,9,318,29
9,318,29,3042
318,29,3042,249
29,3042,249,10393
3042,249,10393,100
249,10393,100,93
10393,100,93,110
100,93,110,1935
93,110,1935,9
110,1935,9,70
1935,9,70,1350
9,70,1350,5
70,1350,5,29
1350,5,29,423
5,29,423,143
29,423,143,9
423,143,9,45
143,9,45,48
9,45,48,1164
45,48,1164,232
48,1164,232,481
1164,232,481,29
232,481,29,318
481,29,318,203
29,318,203,31
318,203,31,2
203,31,2,2193
31,2,2193,1164
2,2193,1164,4
2193,1164,4,48
1164,4,48,185
4,48,185,34
48,185,34,1164
185,34,1164,19
34,1164,19,2515
1164,19,2515,2
19,2515,2,1984
2515,2,1984,4
2,1984,4,0
1984,4,0,1240
4,0,1240,72
0,1240,72,74
1240,72,74,4
72,74,4,616
74,4,616,72
4,616,72,3372
616,72,3372,4
72,3372,4,4727
3372,4,4727,1641
4,4727,1641,72
4727,1641,72,7411
1641,72,7411,4
72,7411,4,33
7411,4,33,9
4,33,9,70
33,9,70,45
9,70,45,522
70,45,522,7
45,522,7,559
522,7,559,1
7,559,1,5150
559,1,5150,29
1,5150,29,31
5150,29,31,387
29,31,387,3
31,387,3,127
387,3,127,47
3,127,47,405
127,47,405,32
47,405,32,93
405,32,93,110
32,93,110,370
93,110,370,508
110,370,508,481
370,508,481,13
508,481,13,0
481,13,0,2458
13,0,2458,237
0,2458,237,136
2458,237,136,378
237,136,378,5
136,378,5,220
378,5,220,0
5,220,0,1041
220,0,1041,4
0,1041,4,33
1041,4,33,232
4,33,232,370
33,232,370,508
232,370,508,1935
370,508,1935,190
508,1935,190,27
1935,190,27,661
190,27,661,32
27,661,32,0
661,32,0,574
32,0,574,3573
0,574,3573,1
574,3573,1,0
3573,1,0,2213
1,0,2213,86
0,2213,86,61
2213,86,61,2708
86,61,2708,4
61,2708,4,6654
2708,4,6654,242
4,6654,242,29
6654,242,29,31
242,29,31,16
29,31,16,5896
31,16,5896,93
16,5896,93,2792
5896,93,2792,4
93,2792,4,93
2792,4,93,110
4,93,110,481
93,110,481,29
110,481,29,70
481,29,70,16
29,70,16,15
70,16,15,1409
16,15,1409,4422
15,1409,4422,6591
1409,4422,6591,143
4422,6591,143,29
6591,143,29,318
143,29,318,11
29,318,11,19
318,11,19,244
11,19,244,225
19,244,225,3308
244,225,3308,268
225,3308,268,63
3308,268,63,110
268,63,110,2936
63,110,2936,728
110,2936,728,70
2936,728,70,29
728,70,29,20
70,29,20,2
29,20,2,946
20,2,946,4319
2,946,4319,4422
946,4319,4422,793
4319,4422,793,143
4422,793,143,11
793,143,11,2556
143,11,2556,3
11,2556,3,79
2556,3,79,3
3,79,3,27
79,3,27,8255
3,27,8255,2
27,8255,2,1164
8255,2,1164,4
2,1164,4,140
1164,4,140,185
4,140,185,1
140,185,1,423
185,1,423,3223
1,423,3223,3
423,3223,3,6483
3223,3,6483,40
3,6483,40,4967
6483,40,4967,17
40,4967,17,2
4967,17,2,461
17,2,461,767
2,461,767,4
461,767,4,2396
767,4,2396,77
4,2396,77,70
2396,77,70,326
77,70,326,47
70,326,47,57
326,47,57,30
47,57,30,1350
57,30,1350,2
30,1350,2,370
1350,2,370,508
2,370,508,1935
370,508,1935,20
508,1935,20,36
1935,20,36,30
20,36,30,45
36,30,45,1
30,45,1,1499
45,1,1499,3
1,1499,3,1226
1499,3,1226,1682
3,1226,1682,18
1226,1682,18,35
1682,18,35,536
18,35,536,29
35,536,29,70
536,29,70,7124
29,70,7124,3
70,7124,3,0
7124,3,0,4623
3,0,4623,1
0,4623,1,70
4623,1,70,6532
1,70,6532,17
70,6532,17,140
6532,17,140,1505
17,140,1505,3
140,1505,3,23
1505,3,23,0
3,23,0,247
23,0,247,20
0,247,20,40
247,20,40,1847
20,40,1847,57
40,1847,57,1032
1847,57,1032,1219
57,1032,1219,4273
1032,1219,4273,3
1219,4273,3,400
4273,3,400,68
3,400,68,0
400,68,0,2377
68,0,2377,15
0,2377,15,12
2377,15,12,462
15,12,462,1654
12,462,1654,7
462,1654,7,34
1654,7,34,818
7,34,818,8
34,818,8,2710
818,8,2710,33
8,2710,33,4047
2710,33,4047,179
33,4047,179,753
4047,179,753,2
179,753,2,9391
753,2,9391,8547
2,9391,8547,2
9391,8547,2,325
8547,2,325,2459
2,325,2459,2168
325,2459,2168,14
2459,2168,14,8
2168,14,8,7975
14,8,7975,246
8,7975,246,123
7975,246,123,980
246,123,980,176
123,980,176,31
980,176,31,3
176,31,3,2593
31,3,2593,5
3,2593,5,107
2593,5,107,3
5,107,3,269
107,3,269,42
3,269,42,0
269,42,0,146
42,0,146,192
0,146,192,5884
146,192,5884,1373
192,5884,1373,29
5884,1373,29,174
1373,29,174,1032
29,174,1032,16
174,1032,16,15
1032,16,15,47
16,15,47,2645
15,47,2645,326
47,2645,326,0
2645,326,0,192
326,0,192,3636
0,192,3636,29
192,3636,29,428
3636,29,428,63
29,428,63,2
428,63,2,1504
63,2,1504,258
2,1504,258,5652
1504,258,5652,13
258,5652,13,12
5652,13,12,316
13,12,316,14
12,316,14,8
316,14,8,19
14,8,19,222
8,19,222,496
19,222,496,3
222,496,3,0
496,3,0,4623
3,0,4623,8
0,4623,8,258
4623,8,258,3949
8,258,3949,12
258,3949,12,4005
3949,12,4005,2450
12,4005,2450,107
4005,2450,107,63
2450,107,63,36
107,63,36,1039
63,36,1039,14
36,1039,14,8
1039,14,8,5594
14,8,5594,2
8,5594,2,146
5594,2,146,9468
2,146,9468,45
146,9468,45,2
9468,45,2,7173
45,2,7173,8794
2,7173,8794,47
7173,8794,47,44
8794,47,44,19
47,44,19,80
44,19,80,36
19,80,36,1042
80,36,1042,1373
36,1042,1373,15
1042,1373,15,1197
1373,15,1197,536
15,1197,536,10414
1197,536,10414,103
536,10414,103,0
10414,103,0,1373
103,0,1373,29
0,1373,29,111
1373,29,111,1077
29,111,1077,29
111,1077,29,23
1077,29,23,16
29,23,16,318
23,16,318,0
16,318,0,2938
318,0,2938,4
0,2938,4,2396
2938,4,2396,2979
4,2396,2979,111
2396,2979,111,2
2979,111,2,1258
111,2,1258,1373
2,1258,1373,3079
1258,1373,3079,4
1373,3079,4,35
3079,4,35,294
4,35,294,16
35,294,16,57
294,16,57,5
16,57,5,19
57,5,19,7327
5,19,7327,17
19,7327,17,0
7327,17,0,3395
17,0,3395,4
0,3395,4,8742
3395,4,8742,2181
4,8742,2181,63
8742,2181,63,0
2181,63,0,1504
63,0,1504,2
0,1504,2,5653
1504,2,5653,4
2,5653,4,508
5653,4,508,7827
4,508,7827,379
508,7827,379,3421
7827,379,3421,34
379,3421,34,28
3421,34,28,0
34,28,0,6825
28,0,6825,2181
0,6825,2181,63
6825,2181,63,2
2181,63,2,130
63,2,130,2375
2,130,2375,280
130,2375,280,1064
2375,280,1064,540
280,1064,540,767
1064,540,767,43
540,767,43,379
767,43,379,16
43,379,16,31
379,16,31,62
16,31,62,6762
31,62,6762,22
62,6762,22,0
6762,22,0,5292
22,0,5292,956
0,5292,956,62
5292,956,62,8832
956,62,8832,7
62,8832,7,0
8832,7,0,224
7,0,224,8305
0,224,8305,4440
224,8305,4440,1
8305,4440,1,7523
4440,1,7523,43
1,7523,43,31
7523,43,31,5301
43,31,5301,170
31,5301,170,75
5301,170,75,100
170,75,100,0
75,100,0,2445
100,0,2445,1015
0,2445,1015,4
2445,1015,4,0
1015,4,0,1092
4,0,1092,1597
0,1092,1597,1504
1092,1597,1504,47
1597,1504,47,4440
1504,47,4440,22
47,4440,22,948
4440,22,948,44
22,948,44,7
948,44,7,69
44,7,69,375
7,69,375,7
69,375,7,4158
375,7,4158,508
7,4158,508,8
4158,508,8,546
508,8,546,44
8,546,44,7
546,44,7,69
44,7,69,17
7,69,17,188
69,17,188,994
17,188,994,8779
188,994,8779,36
994,8779,36,3817
8779,36,3817,8
36,3817,8,106
3817,8,106,7866
8,106,7866,18
106,7866,18,309
7866,18,309,2
18,309,2,524
309,2,524,9775
2,524,9775,0
524,9775,0,739
9775,0,739,106
0,739,106,62
739,106,62,4790
106,62,4790,5586
62,4790,5586,4
4790,5586,4,4139
